id,type,cycle,watering,seeds,maintenance,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,flowers,edible_fruit,poisonous_to_humans,poisonous_to_pets,dimension_min,dimension_max,attracts_squirrels,attracts_birds,attracts_bees,attracts_butterflies,attracts_hummingbirds,hardiness_min,hardiness_max,sunlight_simplified
117,Tree,Perennial,Frequent,0,Missing,High,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
118,Tree,Perennial,Average,1,Low,Low,False,False,False,False,False,False,,True,False,0,0,213.36,213.36,False,False,False,False,False,6,6,Partial Shade
119,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,182.88,182.88,False,False,False,False,False,5,5,Partial Shade
120,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Partial Shade
121,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,243.84,243.84,False,False,False,False,False,6,6,Partial Shade
122,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,365.76,365.76,False,False,False,False,False,6,6,Full Sun
123,Tree,Perennial,Average,0,Moderate,Low,False,False,False,False,False,False,Moderate,True,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
124,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,High,False,False,0,0,91.44,91.44,False,False,False,False,False,5,5,Partial Shade
125,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,121.92,121.92,False,False,False,False,False,5,5,Partial Shade
126,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,457.2,457.2,False,False,False,False,False,5,5,Partial Shade
127,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,152.4,152.4,False,False,False,False,False,5,5,Partial Shade
128,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,213.36,213.36,False,False,False,False,False,6,6,Partial Shade
129,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
130,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,5,5,Partial Shade
131,Tree,Perennial,Average,0,Low,Moderate,False,False,False,False,False,False,Moderate,True,False,0,0,762.0,762.0,False,False,False,False,False,6,6,Partial Shade
132,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,609.6,609.6,False,False,False,False,False,6,6,Partial Shade
133,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
134,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
135,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
136,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,365.76,365.76,False,False,False,False,False,6,6,Partial Shade
137,Tree,Perennial,Frequent,0,Missing,Low,False,False,False,False,False,False,Moderate,False,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
138,Tree,Perennial,Average,0,Missing,Low,False,False,False,False,False,False,,False,False,0,0,457.2,457.2,False,False,False,False,False,6,6,Partial Shade
139,Tree,Perennial,Average,0,Low,Low,False,False,False,False,False,False,Moderate,True,False,0,0,304.8,304.8,False,False,False,False,False,6,6,Partial Shade
